z_m,potential_v,electric_field_v_m,charge_c_m3
  0.0000000000E+00,  3.8401890937E+00,  1.6237638182E+00, -7.6969626328E-12
  5.1436345042E-03,  3.8318485291E+00,  1.6193022047E+00, -7.6634046909E-12
  1.0296281019E-02,  3.8235163102E+00,  1.6148522562E+00, -7.6300072634E-12
  1.5457952066E-02,  3.8151924371E+00,  1.6104139369E+00, -7.5967694896E-12
  2.0628660190E-02,  3.8068769097E+00,  1.6059872108E+00, -7.5636905142E-12
  2.5808417960E-02,  3.7985697282E+00,  1.6015720423E+00, -7.5307694866E-12
  3.0997237965E-02,  3.7902708924E+00,  1.5971683960E+00, -7.4980055615E-12
  3.6195132821E-02,  3.7819804024E+00,  1.5927762362E+00, -7.4653978983E-12
  4.1402115167E-02,  3.7736982582E+00,  1.5883955279E+00, -7.4329456616E-12
  4.6618197662E-02,  3.7654244598E+00,  1.5840262358E+00, -7.4006480206E-12
  5.1843392993E-02,  3.7571590071E+00,  1.5796683249E+00, -7.3685041497E-12
  5.7077713869E-02,  3.7489019003E+00,  1.5753217603E+00, -7.3365132279E-12
  6.2321173021E-02,  3.7406531392E+00,  1.5709865073E+00, -7.3046744392E-12
  6.7573783207E-02,  3.7324127239E+00,  1.5666625312E+00, -7.2729869722E-12
  7.2835557207E-02,  3.7241806543E+00,  1.5623497975E+00, -7.2414500203E-12
  7.8106507825E-02,  3.7159569306E+00,  1.5580482719E+00, -7.2100627817E-12
  8.3386647891E-02,  3.7077415526E+00,  1.5537579201E+00, -7.1788244593E-12
  8.8675990258E-02,  3.6995345205E+00,  1.5494787079E+00, -7.1477342606E-12
  9.3974547802E-02,  3.6913358340E+00,  1.5452106014E+00, -7.1167913977E-12
  9.9282333426E-02,  3.6831454934E+00,  1.5409535667E+00, -7.0859950874E-12
  1.0459936006E-01,  3.6749634986E+00,  1.5367075700E+00, -7.0553445510E-12
  1.0992564064E-01,  3.6667898495E+00,  1.5324725778E+00, -7.0248390144E-12
  1.1526118816E-01,  3.6586245463E+00,  1.5282485564E+00, -6.9944777080E-12
  1.2060601562E-01,  3.6504675888E+00,  1.5240354727E+00, -6.9642598666E-12
  1.2596013603E-01,  3.6423189770E+00,  1.5198332932E+00, -6.9341847297E-12
