z_m,potential_v,electric_field_v_m,charge_c_m3
  0.0000000000E+00,  1.6159581059E+00,  6.0892440141E-01, -2.0910431014E-12
  5.3110565331E-03,  1.6127274020E+00,  6.0767169069E-01, -2.0858071945E-12
  1.0627739784E-02,  1.6094999309E+00,  6.0642079306E-01, -2.0805837894E-12
  1.5950057089E-02,  1.6062756924E+00,  6.0517170594E-01, -2.0753728521E-12
  2.1278015802E-02,  1.6030546867E+00,  6.0392442676E-01, -2.0701743487E-12
  2.6611623294E-02,  1.5998369137E+00,  6.0267895294E-01, -2.0649882454E-12
  3.1950886953E-02,  1.5966223734E+00,  6.0143528193E-01, -2.0598145087E-12
  3.7295814187E-02,  1.5934110659E+00,  6.0019341116E-01, -2.0546531049E-12
  4.2646412420E-02,  1.5902029911E+00,  5.9895333809E-01, -2.0495040006E-12
  4.8002689094E-02,  1.5869981490E+00,  5.9771506016E-01, -2.0443671626E-12
  5.3364651669E-02,  1.5837965396E+00,  5.9647857483E-01, -2.0392425575E-12
  5.8732307624E-02,  1.5805981630E+00,  5.9524387957E-01, -2.0341301522E-12
  6.4105664455E-02,  1.5774030191E+00,  5.9401097185E-01, -2.0290299137E-12
  6.9484729677E-02,  1.5742111079E+00,  5.9277984914E-01, -2.0239418091E-12
  7.4869510821E-02,  1.5710224294E+00,  5.9155050892E-01, -2.0188658054E-12
  8.0260015440E-02,  1.5678369836E+00,  5.9032294867E-01, -2.0138018701E-12
  8.5656251102E-02,  1.5646547706E+00,  5.8909716589E-01, -2.0087499705E-12
  9.1058225394E-02,  1.5614757903E+00,  5.8787315807E-01, -2.0037100740E-12
  9.6465945923E-02,  1.5583000427E+00,  5.8665092271E-01, -1.9986821482E-12
  1.0187942031E-01,  1.5551275279E+00,  5.8543045732E-01, -1.9936661608E-12
  1.0729865621E-01,  1.5519582458E+00,  5.8421175940E-01, -1.9886620795E-12
  1.1272366127E-01,  1.5487921963E+00,  5.8299482648E-01, -1.9836698723E-12
  1.1815444318E-01,  1.5456293797E+00,  5.8177965607E-01, -1.9786895070E-12
  1.2359100963E-01,  1.5424697957E+00,  5.8056624571E-01, -1.9737209518E-12
  1.2903336835E-01,  1.5393134445E+00,  5.7935459292E-01, -1.9687641748E-12
  1.3448152707E-01,  1.5361603260E+00,  5.7814469524E-01, -1.9638191443E-12
  1.3993549354E-01,  1.5330104402E+00,  5.7693655022E-01, -1.9588858287E-12
  1.4539527555E-01,  1.5298637871E+00,  5.7573015540E-01, -1.9539641963E-12
  1.5086088088E-01,  1.5267203668E+00,  5.7452550833E-01, -1.9490542157E-12
  1.5633231736E-01,  1.5235801792E+00,  5.7332260658E-01, -1.9441558557E-12
  1.6180959280E-01,  1.5204432243E+00,  5.7212144770E-01, -1.9392690848E-12
  1.6729271507E-01,  1.5173095022E+00,  5.7092202926E-01, -1.9343938721E-12
  1.7278169203E-01,  1.5141790127E+00,  5.6972434884E-01, -1.9295301863E-12
  1.7827653158E-01,  1.5110517560E+00,  5.6852840402E-01, -1.9246779965E-12
  1.8377724163E-01,  1.5079277320E+00,  5.6733419237E-01, -1.9198372719E-12
  1.8928383010E-01,  1.5048069408E+00,  5.6614171149E-01, -1.9150079817E-12
  1.9479630495E-01,  1.5016893822E+00,  5.6495095898E-01, -1.9101900952E-12
  2.0031467414E-01,  1.4985750564E+00,  5.6376193242E-01, -1.9053835817E-12
  2.0583894567E-01,  1.4954639633E+00,  5.6257462942E-01, -1.9005884108E-12
  2.1136912754E-01,  1.4923561030E+00,  5.6138904760E-01, -1.8958045521E-12
  2.1690522778E-01,  1.4892514753E+00,  5.6020518456E-01, -1.8910319752E-12
  2.2244725444E-01,  1.4861500804E+00,  5.5902303792E-01, -1.8862706500E-12
  2.2799521559E-01,  1.4830519182E+00,  5.5784260532E-01, -1.8815205462E-12
  2.3354911932E-01,  1.4799569887E+00,  5.5666388437E-01, -1.8767816339E-12
  2.3910897374E-01,  1.4768652920E+00,  5.5548687271E-01, -1.8720538831E-12
  2.4467478698E-01,  1.4737768280E+00,  5.5431156798E-01, -1.8673372640E-12
  2.5024656719E-01,  1.4706915967E+00,  5.5313796782E-01, -1.8626317468E-12
  2.5582432253E-01,  1.4676095981E+00,  5.5196606989E-01, -1.8579373017E-12
  2.6140806121E-01,  1.4645308323E+00,  5.5079587183E-01, -1.8532538993E-12
  2.6699779143E-01,  1.4614552992E+00,  5.4962737131E-01, -1.8485815100E-12
  2.7259352142E-01,  1.4583829988E+00,  5.4846056598E-01, -1.8439201044E-12
  2.7819525945E-01,  1.4553139311E+00,  5.4729545352E-01, -1.8392696532E-12
  2.8380301377E-01,  1.4522480961E+00,  5.4613203160E-01, -1.8346301272E-12
  2.8941679269E-01,  1.4491854939E+00,  5.4497029789E-01, -1.8300014972E-12
  2.9503660453E-01,  1.4461261244E+00,  5.4381025009E-01, -1.8253837341E-12
  3.0066245761E-01,  1.4430699876E+00,  5.4265188588E-01, -1.8207768091E-12
  3.0629436031E-01,  1.4400170836E+00,  5.4149520294E-01, -1.8161806933E-12
  3.1193232099E-01,  1.4369674123E+00,  5.4034019899E-01, -1.8115953578E-12
  3.1757634807E-01,  1.4339209737E+00,  5.3918687172E-01, -1.8070207739E-12
  3.2322644995E-01,  1.4308777678E+00,  5.3803521884E-01, -1.8024569131E-12
  3.2888263509E-01,  1.4278377946E+00,  5.3688523805E-01, -1.7979037468E-12
  3.3454491195E-01,  1.4248010542E+00,  5.3573692709E-01, -1.7933612465E-12
  3.4021328902E-01,  1.4217675465E+00,  5.3459028367E-01, -1.7888293840E-12
  3.4588777480E-01,  1.4187372715E+00,  5.3344530551E-01, -1.7843081309E-12
  3.5156837783E-01,  1.4157102293E+00,  5.3230199035E-01, -1.7797974591E-12
  3.5725510666E-01,  1.4126864197E+00,  5.3116033593E-01, -1.7752973404E-12
  3.6294796986E-01,  1.4096658429E+00,  5.3002033998E-01, -1.7708077469E-12
  3.6864697603E-01,  1.4066484988E+00,  5.2888200026E-01, -1.7663286507E-12
  3.7435213379E-01,  1.4036343875E+00,  5.2774531450E-01, -1.7618600238E-12
  3.8006345178E-01,  1.4006235088E+00,  5.2661028047E-01, -1.7574018385E-12
  3.8578093865E-01,  1.3976158629E+00,  5.2547689593E-01, -1.7529540672E-12
  3.9150460310E-01,  1.3946114497E+00,  5.2434515864E-01, -1.7485166822E-12
  3.9723445384E-01,  1.3916102693E+00,  5.2321506637E-01, -1.7440896561E-12
  4.0297049959E-01,  1.3886123215E+00,  5.2208661689E-01, -1.7396729614E-12
  4.0871274910E-01,  1.3856176065E+00,  5.2095980799E-01, -1.7352665708E-12
