z_m,potential_v,electric_field_v_m,charge_c_m3
  0.0000000000E+00, -4.2377557204E+00, -3.2781461544E-01, -5.3823308983E-14
  2.5841433535E-02, -4.2292833882E+00, -3.2788465408E-01, -9.3171818292E-15
  5.1654578091E-02, -4.2208195336E+00, -3.2788615774E-01,  7.1825103016E-15
  7.7443427681E-02, -4.2123641567E+00, -3.2784712776E-01,  1.9123847274E-14
  1.0321075066E-01, -4.2039172574E+00, -3.2777707782E-01,  2.8723542239E-14
  1.2895874651E-01, -4.1954788357E+00, -3.2768146199E-01,  3.6837502387E-14
  1.5468926155E-01, -4.1870488917E+00, -3.2756393175E-01,  4.3903366243E-14
  1.8040389570E-01, -4.1786274253E+00, -3.2742714706E-01,  5.0180344898E-14
  2.0610406473E-01, -4.1702144365E+00, -3.2727315289E-01,  5.5836837582E-14
  2.3179104052E-01, -4.1618099253E+00, -3.2710358175E-01,  6.0989477940E-14
  2.5746597875E-01, -4.1534138918E+00, -3.2691977365E-01,  6.5722943543E-14
  2.8312993902E-01, -4.1450263359E+00, -3.2672285239E-01,  7.0100977652E-14
  3.0878389985E-01, -4.1366472577E+00, -3.2651377671E-01,  7.4172962688E-14
  3.3442877040E-01, -4.1282766570E+00, -3.2629337597E-01,  7.7978059678E-14
  3.6006539966E-01, -4.1199145340E+00, -3.2606237596E-01,  8.1547931572E-14
  3.8569458391E-01, -4.1115608887E+00, -3.2582141809E-01,  8.4908600668E-14
  4.1131707284E-01, -4.1032157209E+00, -3.2557107398E-01,  8.8081754358E-14
  4.3693357458E-01, -4.0948790308E+00, -3.2531185670E-01,  9.1085686975E-14
  4.6254476005E-01, -4.0865508183E+00, -3.2504422978E-01,  9.3935994403E-14
  4.8815126654E-01, -4.0782310835E+00, -3.2476861428E-01,  9.6646096350E-14
  5.1375370087E-01, -4.0699198263E+00, -3.2448539460E-01,  9.9227635765E-14
  5.3935264206E-01, -4.0616170467E+00, -3.2419492329E-01,  1.0169078894E-13
  5.6494864373E-01, -4.0533227448E+00, -3.2389752491E-01,  1.0404450951E-13
  5.9054223614E-01, -4.0450369204E+00, -3.2359349941E-01,  1.0629672281E-13
  6.1613392802E-01, -4.0367595737E+00, -3.2328312487E-01,  1.0845448237E-13
  6.4172420822E-01, -4.0284907047E+00, -3.2296665991E-01,  1.1052409709E-13
  6.6731354711E-01, -4.0202303133E+00, -3.2264434567E-01,  1.1251123573E-13
  6.9290239792E-01, -4.0119783995E+00, -3.2231640763E-01,  1.1442101324E-13
  7.1849119788E-01, -4.0037349633E+00, -3.2198305707E-01,  1.1625806279E-13
  7.4408036929E-01, -3.9955000048E+00, -3.2164449243E-01,  1.1802659624E-13
  7.6967032046E-01, -3.9872735238E+00, -3.2130090047E-01,  1.1973045518E-13
  7.9526144660E-01, -3.9790555206E+00, -3.2095245727E-01,  1.2137315442E-13
  8.2085413059E-01, -3.9708459949E+00, -3.2059932916E-01,  1.2295791903E-13
  8.4644874372E-01, -3.9626449469E+00, -3.2024167351E-01,  1.2448771630E-13
  8.7204564634E-01, -3.9544523765E+00, -3.1987963943E-01,  1.2596528327E-13
  8.9764518848E-01, -3.9462682838E+00, -3.1951336844E-01,  1.2739315060E-13
  9.2324771043E-01, -3.9380926687E+00, -3.1914299504E-01,  1.2877366340E-13
  9.4885354322E-01, -3.9299255312E+00, -3.1876864719E-01,  1.3010899944E-13
  9.7446300914E-01, -3.9217668713E+00, -3.1839044682E-01,  1.3140118512E-13
  1.0000764222E+00, -3.9136166891E+00, -3.1800851024E-01,  1.3265210958E-13
  1.0256940884E+00, -3.9054749845E+00, -3.1762294849E-01,  1.3386353715E-13
  1.0513163064E+00, -3.8973417575E+00, -3.1723386776E-01,  1.3503711838E-13
  1.0769433677E+00, -3.8892170082E+00, -3.1684136961E-01,  1.3617439988E-13
  1.1025755567E+00, -3.8811007365E+00, -3.1644555136E-01,  1.3727683310E-13
  1.1282131518E+00, -3.8729929424E+00, -3.1604650629E-01,  1.3834578220E-13
  1.1538564247E+00, -3.8648936259E+00, -3.1564432391E-01,  1.3938253104E-13
  1.1795056415E+00, -3.8568027871E+00, -3.1523909016E-01,  1.4038828956E-13
  1.2051610626E+00, -3.8487204259E+00, -3.1483088767E-01,  1.4136419945E-13
  1.2308229428E+00, -3.8406465424E+00, -3.1441979590E-01,  1.4231133938E-13
  1.2564915318E+00, -3.8325811365E+00, -3.1400589131E-01,  1.4323072958E-13
  1.2821670745E+00, -3.8245242082E+00, -3.1358924760E-01,  1.4412333616E-13
  1.3078498109E+00, -3.8164757575E+00, -3.1316993576E-01,  1.4499007492E-13
  1.3335399762E+00, -3.8084357845E+00, -3.1274802427E-01,  1.4583181488E-13
